,ID,Municipio,Population
0,19001,Abasolo,2639
1,19002,Agualeguas,2439
2,19003,Los Aldamas,1292
3,19004,Allende,34353
4,19005,Anáhuac,18194
5,19006,Apodaca,597207
6,19007,Aramberri,16152
7,19008,Bustamante,3977
8,19009,Cadereyta Jiménez,95534
9,19010,El Carmen,38306
10,19011,Cerralvo,7757
11,19012,Ciénega de Flores,42715
12,19013,China,10835
13,19014,Dr. Arroyo,34110
14,19015,Dr. Coss,1632
15,19016,Dr. González,2861
16,19017,Galeana,41130
17,19018,García,247370
18,19019,San Pedro Garza García,123156
19,19020,Gral. Bravo,5479
20,19021,Gral. Escobedo,425148
21,19022,Gral. Terán,14795
22,19023,Gral. Treviño,1044
23,19024,Gral. Zaragoza,6011
24,19025,Gral. Zuazua,67294
25,19026,Guadalupe,682880
26,19027,Los Herreras,1764
27,19028,Higueras,1511
28,19029,Hualahuises,6921
29,19030,Iturbide,3571
30,19031,Juárez,333481
31,19032,Lampazos de Naranjo,5238
32,19033,Linares,79853
33,19034,Marín,5630
34,19035,Melchor Ocampo,955
35,19036,Mier y Noriega,6996
36,19037,Mina,5326
37,19038,Montemorelos,60829
38,19039,Monterrey,1109171
39,19040,Parás,971
40,19041,Pesquería,87168
41,19042,Los Ramones,4469
42,19043,Rayones,2640
43,19044,Sabinas Hidalgo,35456
44,19045,Salinas Victoria,54192
45,19046,San Nicolás de los Garza,430143
46,19047,Hidalgo,13836
47,19048,Santa Catarina,296954
48,19049,Santiago,42407
49,19050,Vallecillo,1632
50,19051,Villaldama,4080
