ID,Municipio,Superficie
19001,Abasolo,44.603
19002,Agualeguas,1034.65
19003,Los Aldamas,645.242
19004,Allende,186.923
19005,Anáhuac,4303.61
19006,Apodaca,250.906
19007,Aramberri,2809.41
19008,Bustamante,470.216
19009,Cadereyta Jiménez,1153.69
19010,El Carmen,101.346
19011,Cerralvo,880.055
19012,Ciénega de Flores,171.958
19013,China,4092.86
19014,Dr. Arroyo,5420.95
19015,Dr. Coss,712.342
19016,Dr. González,628.163
19017,Galeana,6739.95
19018,García,913.814
19019,San Pedro Garza García,91.534
19020,Gral. Bravo,1999.52
19021,Gral. Escobedo,207.057
19022,Gral. Terán,2477.67
19023,Gral. Treviño,356.175
19024,Gral. Zaragoza,1289.39
19025,Gral. Zuazua,194.348
19026,Guadalupe,118.737
19027,Los Herreras,550.65
19028,Higueras,669.889
19029,Hualahuises,165.301
19030,Iturbide,700.061
19031,Juárez,275.245
19032,Lampazos de Naranjo,3109.02
19033,Linares,2322.08
19034,Marín,157.297
19035,Melchor Ocampo,262.059
19036,Mier y Noriega,981.506
19037,Mina,3676.6
19038,Montemorelos,1690.9
19039,Monterrey,781.438
19040,Parás,1008.68
19041,Pesquería,346.412
19042,Los Ramones,1156.9
19043,Rayones,844.979
19044,Sabinas Hidalgo,1393.2
19045,Salinas Victoria,1609.37
19046,San Nicolás de los Garza,57.186
19047,Hidalgo,109.093
19048,Santa Catarina,927.585
19049,Santiago,732.204
19050,Vallecillo,1823.05
19051,Villaldama,1436.12
