MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,CONTABILIZADA
Abasolo,483,255,18,232,71,763,102,20,20,9,17,1,1,0,0,0,0,1,0,0,0,0,0,1,20,0.0,2014,2512,48,4
Agualeguas,1515,340,4,9,4,778,161,7,0,1,0,3,24,0,0,0,0,0,0,0,0,0,0,0,52,0.0,2898,4147,120,10
Allende,2340,4810,51,141,156,4106,860,145,26,206,33,12,11,4,0,1,1,0,1,0,2,2,4,0,253,0.0,13165,28919,576,48
Anahuac,1325,3979,29,99,77,1900,1046,50,70,18,26,8,6,1,1,1,2,1,2,2,1,0,2,0,214,0.0,8860,14822,336,28
Apodaca,39757,58969,873,1756,2031,86520,22626,985,859,551,1520,446,270,139,35,41,34,44,103,17,147,13,40,74,3045,0.0,220895,440894,8820,735
Aramberri,2847,4809,14,53,938,624,414,35,7,3,10,26,6,1,1,0,0,4,0,0,7,1,0,0,220,0.0,10020,12646,336,28
Bustamante,765,602,5,94,31,626,211,55,8,165,39,0,2,1,0,0,0,0,2,2,0,0,0,2,29,0.0,2639,3354,60,5
Cadereyta Jimenez,7613,9104,253,2492,710,10540,4880,324,205,235,626,51,75,38,10,16,3,9,52,12,19,2,9,5,799,0.0,38082,85414,1788,149
Cerralvo,1910,641,10,20,30,548,989,22,11,16,11,2,4,0,0,0,0,0,3,0,1,1,2,0,103,0.0,4324,6900,144,12
China,955,1881,40,115,69,1380,490,1158,90,8,10,20,124,3,10,7,9,6,0,7,7,6,25,0,209,0.0,6629,9977,228,19
Cienega de Flores,4008,1885,116,1425,199,4858,1803,111,55,24,249,30,35,7,2,7,1,3,25,6,11,0,5,2,312,0.0,15179,39601,744,62
Dr. Arroyo,1751,12320,25,122,184,1806,4476,152,44,132,68,21,5,3,4,4,0,5,10,2,9,0,8,0,481,0.0,21632,29832,672,56
Dr. Coss,172,710,5,22,7,219,61,461,2,17,0,1,68,0,1,0,0,0,0,0,0,0,4,0,35,0.0,1785,2725,72,6
Dr. Gonzalez,342,762,11,33,311,552,88,185,1,8,5,0,3,0,1,0,0,0,1,0,2,1,1,1,51,0.0,2359,3273,84,7
El Carmen,2826,1993,68,942,405,3886,1207,94,36,26,92,76,214,18,7,8,3,16,12,2,10,3,1,2,251,0.0,12198,32600,564,47
Galeana,3195,8563,41,3902,397,1789,759,159,16,15,29,34,18,5,4,2,4,15,31,12,6,3,0,4,606,0.0,19609,31230,768,64
Garcia,12537,14076,522,1143,988,29460,9710,550,666,326,700,162,91,40,9,10,11,12,16,9,43,9,22,29,1349,0.0,72490,199018,3984,332
Gral. Bravo,1375,1337,10,56,30,566,227,31,5,0,0,9,0,1,1,0,2,0,0,0,3,0,2,0,102,0.0,3757,5852,120,10
Gral. Escobedo,23414,25096,708,2921,2412,53971,21711,1098,468,407,1011,369,584,158,41,98,36,68,172,27,185,17,88,62,2178,0.0,137300,321812,6108,509
Gral. Teran,497,2777,23,84,40,3102,365,105,24,242,33,14,10,2,0,1,2,2,1,2,1,1,3,0,197,0.0,7528,13304,276,23
Gral. Trevino,742,541,0,7,1,123,66,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,1498,2097,48,4
Gral. Zaragoza,444,1668,9,17,1519,257,67,12,3,9,2,23,25,1,5,0,2,24,0,0,6,0,0,0,78,0.0,4171,5463,132,11
Gral. Zuazua,2998,3275,137,394,1183,7396,2730,134,229,625,187,72,64,13,22,5,5,6,7,2,50,2,2,11,338,0.0,19887,46179,972,81
Guadalupe,52816,70275,1132,2899,2740,113767,32836,1590,1206,768,2010,776,438,214,63,100,56,65,178,41,225,27,104,127,5240,0.0,289693,551656,10656,888
Hidalgo,1769,930,265,469,98,2935,620,303,80,93,151,6,6,2,1,0,0,1,4,3,0,0,3,3,179,0.0,7921,13163,264,22
Higueras,505,70,111,5,11,350,25,2,0,0,2,110,25,0,0,0,0,0,0,0,0,0,0,0,20,0.0,1236,1475,36,3
Hualahuises,687,2017,18,35,69,988,253,51,16,9,9,11,2,1,0,0,0,0,0,0,0,0,0,0,125,0.0,4291,6307,156,13
Iturbide,913,1340,2,27,42,316,146,6,0,1,1,5,4,2,0,0,0,0,0,0,0,0,0,0,52,0.0,2857,3243,84,7
Juarez,15015,29136,385,1249,881,38949,11202,585,341,255,711,543,207,47,8,16,12,13,71,7,76,2,22,16,1574,0.0,101323,251782,5088,424
Lampazos de Naranjo,2124,418,3,26,7,489,460,6,0,8,9,2,0,0,0,0,0,0,0,0,1,0,1,0,58,0.0,3612,4921,108,9
Linares,7918,8252,185,359,504,8520,3893,580,95,151,134,46,46,10,14,4,11,13,18,8,29,9,18,10,975,0.0,31802,66567,1368,114
Los Aldamas,67,553,8,7,6,583,34,60,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,40,0.0,1365,2076,60,5
Los Herreras,223,529,9,364,5,215,61,100,0,1,2,1,0,0,0,0,0,0,3,2,0,1,0,0,49,0.0,1565,2902,72,6
Los Ramones,1064,525,3,50,11,365,101,686,7,53,5,2,2,1,0,0,0,1,0,10,1,1,7,0,69,0.0,2964,5372,156,13
Marin,614,498,21,661,28,1054,179,39,2,2,12,5,1,0,0,0,0,2,6,5,2,0,0,0,76,0.0,3207,4984,108,9
Melchor Ocampo,385,127,4,23,17,293,98,424,1,1,4,4,4,0,4,0,3,1,2,6,0,4,9,0,44,0.0,1458,1937,48,4
Mier y Noriega,1342,545,9,822,13,902,880,14,6,9,10,94,94,0,0,3,0,0,3,3,0,0,1,1,114,0.0,4865,6482,156,13
Mina,508,1388,9,656,10,719,83,21,7,5,9,6,1,0,0,0,0,0,2,0,0,0,0,0,70,0.0,3494,4944,132,11
Montemorelos,3278,8821,117,264,751,7090,3273,316,49,103,224,49,54,19,6,11,6,9,10,5,34,1,12,5,597,0.0,25104,54852,1176,98
Monterrey,69240,200997,1978,3282,7646,199464,40577,1895,1205,842,2715,1821,644,334,78,97,91,99,167,61,500,41,119,224,8718,0.0,542835,963019,19716,1643
Paras,764,418,6,12,8,339,70,10,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,1667,2008,48,4
Pesqueria,7705,3092,116,562,592,6833,3551,149,74,79,107,66,106,24,6,7,3,12,14,1,23,1,6,4,407,0.0,23540,70795,1320,110
Rayones,1329,324,1,25,25,348,273,26,5,6,4,2,2,0,1,0,0,0,0,1,0,0,0,0,62,0.0,2434,3110,84,7
Sabinas Hidalgo,5418,2242,48,769,132,6424,994,92,25,167,87,12,11,8,3,6,2,5,20,4,4,0,2,0,308,0.0,16783,29104,612,51
Salinas Victoria,5349,4292,106,246,246,8884,2345,141,47,68,305,85,104,15,1,6,1,4,9,1,8,1,2,6,401,0.0,22673,48612,924,77
San Nicolas de los Garza,62875,34771,570,1478,1665,78468,20534,742,498,386,1299,594,389,105,26,39,33,33,91,19,130,18,47,78,2950,0.0,207838,367121,7404,617
San Pedro Garza Garcia,9198,22150,305,369,212,37196,2721,178,128,69,301,113,37,18,2,6,1,6,9,3,15,0,4,46,849,0.0,73936,107652,2112,176
Santa Catarina,22731,19363,375,936,767,45428,10817,559,344,460,940,189,125,71,15,42,34,25,70,20,84,17,63,31,2043,0.0,105549,225939,4164,347
Santiago,4253,8766,153,339,614,8881,1555,178,58,38,130,55,21,10,2,7,0,7,9,0,17,2,3,2,446,0.0,25546,40354,828,69
Vallecillo,179,542,14,19,582,239,39,4,4,2,5,4,2,0,2,0,0,5,0,0,3,2,0,0,35,0.0,1682,2334,72,6
Villaldama,853,293,3,652,15,1109,112,10,1,7,3,1,3,1,3,0,0,1,2,2,0,0,0,0,42,0.0,3113,3883,84,7
